Version;SupportBegin;SupportEnd
0.0.1;2026-04-12T00:00:00;2027-07-12T00:00:00
1.0.0;2026-06-07T00:00:00;2027-09-06T00:00:00
1.1.0;2026-06-07T00:00:00;2027-09-06T00:00:00
1.2.0;2026-06-14T00:00:00;2027-09-13T00:00:00
1.2.1;2026-06-22T00:00:00;2027-09-21T00:00:00
1.2.2;2026-06-26T00:00:00;2027-09-25T00:00:00
1.2.3;2026-07-03T00:00:00;2027-10-02T00:00:00
1.2.4;2026-07-08T00:00:00;2027-10-07T00:00:00
1.2.5;2026-07-11T00:00:00;2027-10-10T00:00:00
1.2.6;2026-07-20T00:00:00;2027-10-19T00:00:00
1.2.7;2026-07-24T00:00:00;2027-10-23T00:00:00
1.2.8;2026-08-08T00:00:00;2027-11-07T00:00:00
1.2.9;2026-08-24T00:00:00;2027-11-23T00:00:00
1.2.10;2026-08-27T00:00:00;2027-11-26T00:00:00
